origin,temp,dewpoint,humidity,precip,pressure,wind_speed,wind_dir,visib,time_hour
EWR,3.19,0.19,80.62,0.01,100.63,8.53,233.91,10,2017-01-01T00:00:00Z
EWR,3.12,0.27,81.5,0,100.65,7.5,236.77,10,2017-01-01T01:00:00Z
EWR,2.31,0.23,86.12,0,100.68,6.68,235.68,10,2017-01-01T02:00:00Z
EWR,1.22,-0.12,90.75,0,100.73,7.11,243.07,10,2017-01-01T03:00:00Z
EWR,0.65,-0.24,93.69,0,100.82,7.21,248.13,10,2017-01-01T04:00:00Z
EWR,0.33,-0.2,96.19,0,100.95,7.27,252.09,10,2017-01-01T05:00:00Z
EWR,0.29,-0.12,97,0,101.07,7.74,257.04,10,2017-01-01T06:00:00Z
EWR,1.38,0.3,92.38,0.09,101.19,7.69,266.8,10,2017-01-01T07:00:00Z
EWR,2.84,1.11,88.31,0.04,101.33,6.67,276.32,10,2017-01-01T08:00:00Z
EWR,4.87,1.92,81.12,0.02,101.47,5.79,284.94,10,2017-01-01T09:00:00Z
EWR,6.36,0.24,65,0.01,101.57,6.41,294.72,10,2017-01-01T10:00:00Z
EWR,6.96,-1.35,55.44,0,101.6,5.69,296.14,10,2017-01-01T11:00:00Z
EWR,7.4,-2.05,51,0,101.61,4.98,296.16,10,2017-01-01T12:00:00Z
EWR,7.69,-2.35,48.88,0,101.66,4.36,295.92,10,2017-01-01T13:00:00Z
EWR,7.62,-2.27,49.44,0,101.73,3.73,299.63,10,2017-01-01T14:00:00Z
EWR,6.27,0.8,68.31,0,101.83,3.12,313.58,10,2017-01-01T15:00:00Z
EWR,4.24,-1.89,64.38,0,101.93,2.89,330.18,10,2017-01-01T16:00:00Z
EWR,3.65,-3.17,60.69,0,102.05,2.81,348.28,10,2017-01-01T17:00:00Z
EWR,2.88,-3.54,62.38,0,102.13,3.08,17.7,10,2017-01-01T18:00:00Z
EWR,2.05,-3.74,65.12,0,102.19,3.42,43.06,10,2017-01-01T19:00:00Z
EWR,1.4,-3.74,68.25,0,102.24,3.68,60.06,10,2017-01-01T20:00:00Z
EWR,1,-3.49,71.5,0,102.31,3.88,70.62,10,2017-01-01T21:00:00Z
EWR,0.21,-2.95,78.94,0,102.34,4.6,74.92,10,2017-01-01T22:00:00Z
EWR,0.06,-2.24,84.19,0,102.35,5.52,76.34,10,2017-01-01T23:00:00Z
EWR,0.5,-1.63,85.44,0,102.3,6.3,79.79,10,2017-01-02T00:00:00Z
EWR,0.51,-1.28,87.75,0,102.33,5.97,86.1,10,2017-01-02T01:00:00Z
EWR,0.48,-0.95,90.06,0,102.37,5.6,89.52,10,2017-01-02T02:00:00Z
EWR,0.75,-0.48,91.44,0,102.34,5.84,89.39,10,2017-01-02T03:00:00Z
EWR,1.16,0.06,92.31,0,102.32,5.78,87.75,10,2017-01-02T04:00:00Z
EWR,1.1,0.5,95.75,0.01,102.36,5.49,86.73,10,2017-01-02T05:00:00Z
EWR,2.08,1.06,92.94,0.24,102.42,5.25,84.19,10,2017-01-02T06:00:00Z
EWR,2.37,1.35,92.94,0.05,102.45,4.93,79.78,10,2017-01-02T07:00:00Z
EWR,2.77,1.69,92.62,0.11,102.46,4.92,80.21,10,2017-01-02T08:00:00Z
EWR,3.38,2.16,91.81,0.23,102.46,5.05,83.34,10,2017-01-02T09:00:00Z
EWR,3.87,2.67,91.88,0.47,102.45,4.85,79.32,10,2017-01-02T10:00:00Z
EWR,4.15,3.06,92.69,0.81,102.36,4.81,72.8,10,2017-01-02T11:00:00Z
EWR,4.19,3.29,93.88,0.83,102.29,4.97,66.98,10,2017-01-02T12:00:00Z
EWR,4.02,3.3,95,0.68,102.24,5.45,64.79,10,2017-01-02T13:00:00Z
EWR,3.8,3.18,95.69,0.7,102.18,5.75,63.96,10,2017-01-02T14:00:00Z
EWR,3.63,3.08,96.25,0.65,102.12,5.89,61.46,10,2017-01-02T15:00:00Z
EWR,3.39,2.96,97.06,0.54,102.1,6,57.01,10,2017-01-02T16:00:00Z
EWR,3.18,2.8,97.56,0.44,102.11,6.03,50.04,10,2017-01-02T17:00:00Z
EWR,2.99,2.64,97.81,0.38,102.1,6.04,45,10,2017-01-02T18:00:00Z
EWR,2.91,2.57,97.88,0.39,102.04,6.36,44.9,10,2017-01-02T19:00:00Z
EWR,3.27,2.89,97.5,0.33,101.96,7.42,53.48,10,2017-01-02T20:00:00Z
EWR,3.45,3.12,97.75,0.29,101.89,7.14,51.58,9,2017-01-02T21:00:00Z
EWR,3.54,3.23,97.88,0.26,101.81,6.84,47.64,10,2017-01-02T22:00:00Z
EWR,3.67,3.32,97.62,0.22,101.68,7.38,51.44,10,2017-01-02T23:00:00Z
EWR,3.85,3.5,97.69,0.15,101.59,7.56,56.59,9,2017-01-03T00:00:00Z
EWR,4,3.64,97.69,0.14,101.51,7.59,58.63,8,2017-01-03T01:00:00Z
EWR,4.18,3.83,97.69,0.2,101.46,7.31,57.48,8,2017-01-03T02:00:00Z
EWR,4.25,3.9,97.69,0.23,101.34,7.52,55.58,5,2017-01-03T03:00:00Z
EWR,4.3,3.94,97.62,0.22,101.22,7.79,54.43,5,2017-01-03T04:00:00Z
EWR,4.29,3.92,97.62,0.19,101.17,7.81,54.28,2.5,2017-01-03T05:00:00Z
EWR,4.2,3.87,97.88,0.21,101.12,7.24,51.62,4,2017-01-03T06:00:00Z
EWR,4.07,3.76,98.06,0.25,101.03,6.68,47.89,3,2017-01-03T07:00:00Z
EWR,4.14,3.81,98,0.27,100.91,6.84,48.15,3,2017-01-03T08:00:00Z
EWR,4.53,4.11,97.44,0.13,100.78,7.26,55.35,4,2017-01-03T09:00:00Z
EWR,5.37,4.83,96.62,0.33,100.63,8.92,64.87,6,2017-01-03T10:00:00Z
EWR,6.12,5.46,95.69,1.17,100.42,8.67,64.94,6,2017-01-03T11:00:00Z
EWR,6.37,5.62,95,2.66,100.17,8.19,57.07,2.5,2017-01-03T12:00:00Z
